period[s],velocity[km/s],filtered[if filtered by DNN],standerd deviation
3.0000,2.9621,False,0.0471
4.0000,2.9753,False,0.0484
5.0000,2.9963,False,0.0487
6.0000,3.0322,False,0.0384
7.0000,3.0741,False,0.0336
8.0000,3.0842,False,0.0324
9.0000,3.1117,False,0.0366
10.0000,3.1117,False,0.0320
11.0000,3.1439,False,0.0284
12.0000,3.1301,False,0.0284
13.0000,3.1670,False,0.0315
14.0000,3.1865,False,0.0339
15.0000,3.1830,False,0.0369
16.0000,3.2233,True,0.0423
17.0000,3.2582,True,0.0428
18.0000,3.2872,True,0.0460
19.0000,3.2971,False,0.0504
20.0000,3.3187,False,0.0539
21.0000,3.3491,False,0.0555
22.0000,3.3768,False,0.0597
23.0000,3.4011,False,0.0600
24.0000,3.4399,False,0.0613
25.0000,3.4454,False,0.0619
26.0000,3.4788,False,0.0591
27.0000,3.5143,False,0.0570
28.0000,3.5184,False,0.0553
29.0000,3.5366,False,0.0549
30.0000,3.5467,False,0.0545
31.0000,3.5755,False,0.0580
32.0000,3.6044,False,0.0548
33.0000,3.6329,False,0.0534
34.0000,3.6353,False,0.0582
35.0000,3.6764,False,0.0539
36.0000,3.6940,False,0.0559
37.0000,3.6928,False,0.0565
38.0000,3.7182,False,0.0557
39.0000,3.7445,False,0.0549
40.0000,3.7407,False,0.0563
41.0000,3.7410,False,0.0571
42.0000,3.7478,False,0.0623
43.0000,3.7458,False,0.0610
44.0000,3.7843,False,0.0565
45.0000,3.8015,False,0.0575
46.0000,3.7961,False,0.0579
47.0000,3.8233,False,0.0568
48.0000,3.8439,False,0.0555
49.0000,3.8327,False,0.0566
50.0000,3.8129,False,0.0605
